,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Año,Mes,Trim
45,21.0,3.0,2012.094,26.8,6687.912,2018.0,1.0,1.0
46,22.0,3.0,2057.605,25.6,6928.841,2018.0,1.0,1.0
47,23.0,3.0,1998.675,24.3,6606.949,2018.0,1.0,1.0
48,0.0,4.0,1890.021,22.6,6039.233,2018.0,1.0,1.0
49,1.0,4.0,1817.158,21.5,5491.996,2018.0,1.0,1.0
50,2.0,4.0,1716.569,20.9,5058.997,2018.0,1.0,1.0
51,3.0,4.0,1652.098,20.5,4791.991,2018.0,1.0,1.0
52,4.0,4.0,1627.631,18.8,4614.61,2018.0,1.0,1.0
53,5.0,4.0,1605.499,17.4,4540.21,2018.0,1.0,1.0
54,6.0,4.0,1563.265,16.9,4471.989,2018.0,1.0,1.0
55,7.0,4.0,1510.917,18.9,4521.292,2018.0,1.0,1.0
56,8.0,4.0,1623.791,23.2,4967.985,2018.0,1.0,1.0
57,9.0,4.0,1735.835,25.0,5577.41,2018.0,1.0,1.0
58,10.0,4.0,1830.128,26.7,6020.055,2018.0,1.0,1.0
59,11.0,4.0,1911.144,28.6,6425.93,2018.0,1.0,1.0
60,12.0,4.0,1983.138,31.2,6679.128,2018.0,1.0,1.0
61,13.0,4.0,2029.166,31.6,7033.352,2018.0,1.0,1.0
62,14.0,4.0,2035.667,32.3,7313.992,2018.0,1.0,1.0
63,15.0,4.0,2038.663,32.8,7502.634,2018.0,1.0,1.0
64,16.0,4.0,1973.02,33.8,7588.532,2018.0,1.0,1.0
65,17.0,4.0,1990.59,33.3,7524.13,2018.0,1.0,1.0
66,18.0,4.0,2006.254,32.9,7335.649,2018.0,1.0,1.0
67,19.0,4.0,1993.393,31.2,7008.057,2018.0,1.0,1.0
68,20.0,4.0,1970.805,30.0,6832.512,2018.0,1.0,1.0
69,21.0,4.0,2111.153,28.1,7269.649,2018.0,1.0,1.0
70,22.0,4.0,2171.331,26.2,7568.142,2018.0,1.0,1.0
71,23.0,4.0,2085.851,26.3,7360.575,2018.0,1.0,1.0
72,0.0,5.0,2006.218,26.0,6975.289,2018.0,1.0,1.0
73,1.0,5.0,1895.405,25.3,6373.36,2018.0,1.0,1.0
74,2.0,5.0,1813.418,24.6,5931.902,2018.0,1.0,1.0
75,3.0,5.0,1738.253,23.6,5577.009,2018.0,1.0,1.0
76,4.0,5.0,1689.514,23.1,5338.859,2018.0,1.0,1.0
77,5.0,5.0,1691.465,22.2,5216.031,2018.0,1.0,1.0
78,6.0,5.0,1637.183,23.0,5109.951,2018.0,1.0,1.0
79,7.0,5.0,1560.084,24.5,5134.623,2018.0,1.0,1.0
80,8.0,5.0,1635.627,27.2,5641.586,2018.0,1.0,1.0
81,9.0,5.0,1775.081,28.8,6313.065,2018.0,1.0,1.0
82,10.0,5.0,1886.637,30.2,6836.295,2018.0,1.0,1.0
83,11.0,5.0,1923.243,31.6,7181.104,2018.0,1.0,1.0
84,12.0,5.0,2039.181,33.2,7600.331,2018.0,1.0,1.0
85,13.0,5.0,2115.698,34.8,8007.002,2018.0,1.0,1.0
86,14.0,5.0,2189.676,35.4,8292.765,2018.0,1.0,1.0
87,15.0,5.0,2179.705,35.6,8616.2,2018.0,1.0,1.0
88,16.0,5.0,2161.785,36.6,8762.484,2018.0,1.0,1.0
89,17.0,5.0,2168.071,35.9,8650.775,2018.0,1.0,1.0
90,18.0,5.0,2144.029,35.4,8422.364,2018.0,1.0,1.0
91,19.0,5.0,2116.502,34.4,8079.288,2018.0,1.0,1.0
92,20.0,5.0,2068.318,33.1,7927.851,2018.0,1.0,1.0
93,21.0,5.0,2144.536,31.8,8423.484,2018.0,1.0,1.0
94,22.0,5.0,2216.887,31.1,8839.624,2018.0,1.0,1.0
95,23.0,5.0,2130.446,30.5,8735.165,2018.0,1.0,1.0
96,0.0,6.0,2095.882,30.3,8319.414,2018.0,1.0,1.0
97,1.0,6.0,1936.902,29.8,7732.749,2018.0,1.0,1.0
98,2.0,6.0,1824.413,29.4,7199.327,2018.0,1.0,1.0
99,3.0,6.0,1773.251,28.2,6761.605,2018.0,1.0,1.0
100,4.0,6.0,1718.657,27.8,6471.135,2018.0,1.0,1.0
101,5.0,6.0,1696.173,26.3,6238.823,2018.0,1.0,1.0
102,6.0,6.0,1644.213,24.8,6033.702,2018.0,1.0,1.0
103,7.0,6.0,1575.461,22.4,5749.661,2018.0,1.0,1.0
104,8.0,6.0,1616.368,21.4,5830.449,2018.0,1.0,1.0
105,9.0,6.0,1716.093,22.2,6057.337,2018.0,1.0,1.0
106,10.0,6.0,1797.252,20.4,6158.845,2018.0,1.0,1.0
107,11.0,6.0,1860.973,18.8,6152.613,2018.0,1.0,1.0
108,12.0,6.0,1894.949,19.4,6113.711,2018.0,1.0,1.0
109,13.0,6.0,1903.288,20.0,6101.23,2018.0,1.0,1.0
110,14.0,6.0,1889.72,21.2,6051.851,2018.0,1.0,1.0
111,15.0,6.0,1897.643,21.6,6041.635,2018.0,1.0,1.0
112,16.0,6.0,1889.44,20.4,5963.847,2018.0,1.0,1.0
113,17.0,6.0,1912.865,19.8,5840.098,2018.0,1.0,1.0
114,18.0,6.0,1930.35,20.0,5689.883,2018.0,1.0,1.0
115,19.0,6.0,1882.986,20.4,5523.447,2018.0,1.0,1.0
116,20.0,6.0,1866.299,19.8,5487.888,2018.0,1.0,1.0
117,21.0,6.0,1937.744,19.4,5849.114,2018.0,1.0,1.0
118,22.0,6.0,2005.093,19.1,5923.086,2018.0,1.0,1.0
119,23.0,6.0,1897.932,18.8,5601.084,2018.0,1.0,1.0
120,0.0,7.0,1833.564,18.1,5214.767,2018.0,1.0,1.0
121,1.0,7.0,1719.29,17.4,4849.596,2018.0,1.0,1.0
122,2.0,7.0,1625.634,18.0,4532.09,2018.0,1.0,1.0
123,3.0,7.0,1572.046,17.5,4299.551,2018.0,1.0,1.0
124,4.0,7.0,1544.42,17.1,4149.181,2018.0,1.0,1.0
125,5.0,7.0,1512.537,16.8,4044.92,2018.0,1.0,1.0
126,6.0,7.0,1462.326,15.8,3895.768,2018.0,1.0,1.0
127,7.0,7.0,1391.136,16.5,3714.038,2018.0,1.0,1.0
128,8.0,7.0,1436.884,20.4,3886.894,2018.0,1.0,1.0
129,9.0,7.0,1551.835,22.4,4180.477,2018.0,1.0,1.0
130,10.0,7.0,1633.968,23.4,4484.014,2018.0,1.0,1.0
131,11.0,7.0,1683.779,23.9,4694.262,2018.0,1.0,1.0
132,12.0,7.0,1696.765,25.0,4843.896,2018.0,1.0,1.0
133,13.0,7.0,1691.986,25.0,4953.907,2018.0,1.0,1.0
134,14.0,7.0,1654.778,25.2,4981.788,2018.0,1.0,1.0
135,15.0,7.0,1662.776,25.9,4942.066,2018.0,1.0,1.0
136,16.0,7.0,1649.723,25.8,4923.696,2018.0,1.0,1.0
137,17.0,7.0,1684.096,24.4,4942.215,2018.0,1.0,1.0
138,18.0,7.0,1693.864,24.4,4970.59,2018.0,1.0,1.0
139,19.0,7.0,1717.88,24.1,4923.153,2018.0,1.0,1.0
140,20.0,7.0,1720.834,23.6,4929.584,2018.0,1.0,1.0
141,21.0,7.0,1858.093,23.0,5417.796,2018.0,1.0,1.0
142,22.0,7.0,1875.528,22.9,5586.249,2018.0,1.0,1.0
143,23.0,7.0,1828.394,23.3,5349.072,2018.0,1.0,1.0
144,0.0,1.0,1754.801,22.5,5055.99,2018.0,1.0,1.0
145,1.0,1.0,1672.046,22.6,4742.998,2018.0,1.0,1.0
146,2.0,1.0,1575.583,21.9,4457.149,2018.0,1.0,1.0
147,3.0,1.0,1486.592,21.3,4225.088,2018.0,1.0,1.0
148,4.0,1.0,1443.196,20.4,4053.663,2018.0,1.0,1.0
149,5.0,1.0,1426.834,19.5,3940.451,2018.0,1.0,1.0
150,6.0,1.0,1347.68,18.8,3751.74,2018.0,1.0,1.0
151,7.0,1.0,1261.902,19.1,3480.723,2018.0,1.0,1.0
152,8.0,1.0,1225.522,20.0,3562.918,2018.0,1.0,1.0
