,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Clima GBA,Año,Mes
268,4.0,6.0,1856.0,20.6,6973.3,28.4,2018.0,1.0
269,5.0,6.0,1823.9,20.2,6802.9,28.1,2018.0,1.0
270,6.0,6.0,1778.5,20.0,6682.1,27.8,2018.0,1.0
271,7.0,6.0,1688.7,21.0,6546.5,27.7,2018.0,1.0
272,8.0,6.0,1745.2,21.0,6927.0,28.2,2018.0,1.0
273,9.0,6.0,1874.8,25.5,7458.4,30.6,2018.0,1.0
274,10.0,6.0,1995.6,26.6,7991.6,31.9,2018.0,1.0
275,11.0,6.0,2099.5,28.0,8411.9,30.5,2018.0,1.0
276,12.0,6.0,2158.0,29.2,8600.7,30.6,2018.0,1.0
277,13.0,6.0,2178.2,29.6,8781.7,31.5,2018.0,1.0
278,14.0,6.0,2204.6,28.2,8904.6,33.4,2018.0,1.0
279,15.0,6.0,2182.7,28.1,8938.1,32.4,2018.0,1.0
280,16.0,6.0,2169.6,27.9,8836.3,29.6,2018.0,1.0
281,17.0,6.0,2198.3,28.6,8600.4,29.7,2018.0,1.0
282,18.0,6.0,2196.4,28.7,8315.1,29.0,2018.0,1.0
283,19.0,6.0,2152.9,28.0,7719.7,26.4,2018.0,1.0
284,20.0,6.0,2084.5,25.2,7232.5,26.2,2018.0,1.0
285,21.0,6.0,2179.4,25.6,7528.5,26.1,2018.0,1.0
286,22.0,6.0,2247.2,25.3,7789.9,25.5,2018.0,1.0
287,23.0,6.0,2147.5,24.2,7557.9,24.4,2018.0,1.0
288,0.0,7.0,2075.5,23.8,7096.2,24.4,2018.0,1.0
289,1.0,7.0,1958.2,23.3,6705.2,24.8,2018.0,1.0
290,2.0,7.0,1839.4,22.2,6436.2,25.1,2018.0,1.0
291,3.0,7.0,1763.4,21.8,6143.3,24.4,2018.0,1.0
292,4.0,7.0,1721.7,21.8,5908.4,23.4,2018.0,1.0
293,5.0,7.0,1665.4,21.5,5742.0,22.7,2018.0,1.0
294,6.0,7.0,1593.9,22.1,5552.8,23.0,2018.0,1.0
295,7.0,7.0,1528.9,21.2,5245.0,24.8,2018.0,1.0
296,8.0,7.0,1573.0,20.0,5351.2,25.2,2018.0,1.0
297,9.0,7.0,1659.4,20.5,5699.1,27.0,2018.0,1.0
298,10.0,7.0,1721.9,21.2,6177.8,27.8,2018.0,1.0
299,11.0,7.0,1806.9,21.2,6536.5,28.2,2018.0,1.0
300,12.0,7.0,1835.2,21.5,6858.9,29.8,2018.0,1.0
301,13.0,7.0,1843.5,21.2,7082.9,28.9,2018.0,1.0
302,14.0,7.0,1832.7,20.6,7064.0,28.0,2018.0,1.0
303,15.0,7.0,1805.7,20.7,7026.6,29.6,2018.0,1.0
304,16.0,7.0,1769.6,19.8,6926.5,29.0,2018.0,1.0
305,17.0,7.0,1751.3,19.2,6513.2,24.0,2018.0,1.0
306,18.0,7.0,1752.2,19.1,6279.3,23.7,2018.0,1.0
307,19.0,7.0,1735.2,19.0,6072.4,23.8,2018.0,1.0
308,20.0,7.0,1710.9,18.7,5953.7,22.8,2018.0,1.0
309,21.0,7.0,1812.2,18.6,6222.4,21.8,2018.0,1.0
310,22.0,7.0,1840.8,18.1,6121.6,20.7,2018.0,1.0
311,23.0,7.0,1771.5,17.7,5725.0,19.9,2018.0,1.0
312,0.0,1.0,1702.7,17.4,5357.4,19.8,2018.0,1.0
313,1.0,1.0,1620.2,17.2,5031.0,19.4,2018.0,1.0
314,2.0,1.0,1544.8,17.2,4726.3,19.0,2018.0,1.0
315,3.0,1.0,1463.2,17.4,4489.0,18.9,2018.0,1.0
316,4.0,1.0,1429.2,17.3,4341.2,19.0,2018.0,1.0
317,5.0,1.0,1410.3,17.1,4208.8,18.8,2018.0,1.0
318,6.0,1.0,1366.9,17.3,4100.6,17.8,2018.0,1.0
319,7.0,1.0,1246.0,17.3,3820.4,16.9,2018.0,1.0
320,8.0,1.0,1245.7,17.6,3700.1,16.6,2018.0,1.0
321,9.0,1.0,1281.4,17.7,3759.1,16.8,2018.0,1.0
322,10.0,1.0,1335.0,17.8,3906.4,17.5,2018.0,1.0
323,11.0,1.0,1372.6,17.9,4062.6,18.0,2018.0,1.0
324,12.0,1.0,1413.4,18.1,4194.6,19.0,2018.0,1.0
325,13.0,1.0,1437.5,18.7,4323.7,19.2,2018.0,1.0
326,14.0,1.0,1438.9,18.8,4372.8,20.0,2018.0,1.0
